DIVISION_ID,PROVINCE_ID,DIVISION_NAME,DIVISION_NAME_URDU,DIVISION_GPS,CREATION_DATE_TIME_STAMP,CREATION_USER_ID,INTERFACE_SOURCE,UPDATE_DATE_TIME_STAMP,UPDATE_USER_ID,RECORD_ACTIVE_STATUS,URL_USED,REMARKS_REASON_OF_NON_ACTIVE,division_latitude,division_longitude
1,1,Muzaffarabad Division,,,,,,,,1,,,,
2,1,Poonch Division,,,,,,,,1,,,,
3,1,Mirpur Division,,,,,,,,1,,,,
4,2,Quetta Division,,,,,,,,1,,,,
5,2,Pishin Division,,,,,,,,1,,,,
6,2,Khuzdar Division,,,,,,,,1,,,,
7,2,Lasbela Division,,,,,,,,1,,,,
8,2,Makran Division,,,,,,,,1,,,,
9,2,Naseerabad Division,,,,,,,,1,,,,
10,2,Sibi Division,,,,,,,,1,,,,
11,2,Rakhshan Division,,,,,,,,1,,,,
12,2,Zhob Division,,,,,,,,1,,,,
13,2,Loralai Division,,,,,,,,1,,,,
14,2,Koh-e-Sulaiman Division,,,,,,,,1,,,,
15,3,DISPUTED TERRITORY,,,,,,,,1,,,,
16,4,FATA,,,,,,,,1,,,,
17,5,FEDERAL CAPITAL TERRITORY,,,,,,,,1,,,,
18,6,Gilgit Division,,,,,,,,1,,,,
19,6,Baltistan Division,,,,,,,,1,,,,
20,6,Diamer Division,,,,,,,,1,,,,
21,7,Peshawar Division,,,,,,,,1,,,,
22,7,Mardan Division,,,,,,,,1,,,,
23,7,Hazara Division,,,,,,,,1,,,,
24,7,Malakand Division,,,,,,,,1,,,,
25,7,Kohat Division,,,,,,,,1,,,,
26,7,Bannu Division,,,,,,,,1,,,,
27,7,Dera Ismail Khan Division,,,,,,,,1,,,,
28,8,Lahore Division,,,,,,,,1,,,,
29,8,Gujrat Division,,,,,,,,1,,,,
30,8,Gujranwala Division,,,,,,,,1,,,,
31,8,Faisalabad Division,,,,,,,,1,,,,
73,25,KARAK,,,,,,,,,1,,[NULL],71.04902962,32.9510981
74,25,KOHAT,,,,,,,,,1,,[NULL],71.47884341,33.32515958
75,23,KOHISTAN,,,,,,,,,1,,[NULL],73.14258255,35.03663095
76,26,LAKKI MARWAT,,,,,,,,,1,,[NULL],70.74073333,32.75501878
77,24,LOWER DIR,,,,,,,,,1,,[NULL],71.72454101,34.84397899
78,24,MALAKAND,,,,,,,,,1,,[NULL],71.87734412,34.4709462
79,23,MANSEHRA,,,,,,,,,1,,[NULL],73.18500672,34.47560721
80,22,MARDAN,,,,,,,,,1,,[NULL],72.16852831,34.27132948
81,21,NOWSHEHRA,,,,,,,,,1,,[NULL],72.03956424,33.92525835
82,21,Peshawar,,,,,,,,,1,,[NULL],71.55086149,34.0986379
83,24,SHANGLA,,,,,,,,,1,,[NULL],72.78591297,34.80523836
84,22,SWABI,,,,,,,,,1,,[NULL],72.49437642,34.1122569
85,24,SWAT,,,,,,,,,1,,[NULL],72.51047876,34.84590593
86,27,TANK,,,,,,,,,1,,[NULL],70.39242698,32.24356166
87,23,TORGHER,,,,,,,,,1,,[NULL],72.83424939,34.55473433
88,24,UPPER DIR,,,,,,,,,1,,[NULL],72.13725034,35.44040305
89,32,ATTOCK,,,,,,,,,1,,[NULL],72.31075408,33.73158031
90,36,BAHAWALNAGAR,,,,,,,,,1,,[NULL],72.80789514,29.68903263
91,36,BAHAWALPUR,,,,,,,,,1,,[NULL],71.62384136,29.32425945
92,33,BHAKKAR,,,,,,,,,1,,[NULL],71.42407147,32.05780782
93,32,CHAKWAL,,,,,,,,,1,,[NULL],72.84707736,32.9993345
94,31,CHINIOT,,,,,,,,,1,,[NULL],72.78384146,31.76055982
95,37,DERA GHAZI KHAN,,,,,,,,,1,,[NULL],70.25811694,30.40213828
96,31,FAISALABAD,,,,,,,,,1,,[NULL],73.40300796,31.34151063
